TOFU	AM	RM	AdjRM
178	0.76999999968788	0.67670136843507	1.08472071802671
179	0.769999999723174	0.676756971209002	1.0852820208326
180	0.769999999754478	0.676811636725041	1.08583718314228
181	0.769999999782241	0.676865380781902	1.08638627213105
182	0.769999999806865	0.676918218911992	1.08692935423936
183	0.769999999828705	0.676970166385897	1.0874664951808
184	0.769999999848075	0.6770212382168	1.08799775995008
185	0.769999999865254	0.677071449164815	1.08852321283089
186	0.769999999880491	0.677120813741256	1.08904291740367
187	0.769999999894005	0.677169346212828	1.0895569365533
188	0.769999999905991	0.677217060605754	1.09006533247673
189	0.769999999916622	0.677263970709825	1.09056816669049
190	0.76999999992605	0.677310090082389	1.09106550003813
191	0.769999999934412	0.677355432052264	1.09155739269758
192	0.769999999941829	0.677400009723595	1.09204390418847
193	0.769999999948407	0.67744383597964	1.09252509337928
194	0.769999999954241	0.677486923486493	1.09300101849449
195	0.769999999959415	0.677529284696741	1.09347173712161
196	0.769999999964005	0.67757093185307	1.09393730621817
197	0.769999999968075	0.677611876991798	1.09439778211861
198	0.769999999971685	0.677652131946355	1.09485322054106
199	0.769999999974887	0.677691708350703	1.09530367659414
200	0.769999999977727	0.677730617642698	1.09574920478358
201	0.769999999980245	0.677768871067396	1.09618985901882
202	0.769999999982479	0.677806479680305	1.09662569261957
203	0.76999999998446	0.677843454350573	1.09705675832223
204	0.769999999986218	0.677879805764139	1.09748310828628
